"Name","Age","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"Pogona_vitticeps","+ 30 years old",1524.1,110,"Pogona_vitticeps","Squamata","Lizard","No","Yes","No"
"Leptoptilos_crumenifer","- 30 years old",1512.2,111,"Leptoptilos_crumenifer","Bird","Bird (not Raptor)","No","No","No"
"Harpia_Harpyja","+ 30 years old",1458.4,111,"Harpia_Harpyja","Bird","Raptor","Yes","No","No"
"Cynictis_penicillata","- 30 years old",1518.8,112,"Cynictis_penicillata","Mammal","Mongoose","No","Yes","No"
"Cryptoprocto _ferox","+ 30 years old",1516.1,112,"Cryptoprocto_ferox","Mammal","Felidae","Yes","No","No"
"Macaca_fuscata","- 30 years old",1512.8,113,"Macaca_fuscata","Mammal","Primate","No","Yes","No"
"Saiga_tatarica","+ 30 years old",1456.2,113,"Saiga_tatarica","Mammal","Ungulate","No","No","No"
"Thalassarche_cauta","- 30 years old",1569.7,114,"Thalassarche_cauta","Bird","Bird (not Raptor)","No","No","No"
"Loxodonta_africana","+ 30 years old",1544.8,114,"Loxodonta_africana","Mammal","Ungulate","No","No","Yes"
"Pithecia pithecia2","- 30 years old",1513.7,115,"Pithecia_pithecia","Mammal","Primate","No","No","No"
"Acryllium_vulturinum","+ 30 years old",1480.8,115,"Acryllium_vulturinum","Bird","Bird (not Raptor)","No","No","No"
"Ursus_maritimus","- 30 years old",1579.5,116,"Ursus_maritimus","Mammal","Ursus","Yes","No","Yes"
"Spalax","+ 30 years old",1513.6,116,"Spalax","Mammal","Rodent","No","No","No"
"Buteo_galapagoensis","- 30 years old",1549.5,117,"Buteo_galapagoensis","Bird","Raptor","No","Yes","No"
"Gyps_rueppelli","+ 30 years old",1512.4,117,"Gyps_rueppelli","Bird","Raptor","No","No","No"
"Arctocephalus forsteri","- 30 years old",1439.8,118,"Arctocephalus_forsteri","Mammal","Sea lion","No","Yes","No"
"Gulo_gulo2","+ 30 years old",1617.2,118,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No"
"Saiga_tatarica","- 30 years old",1471.7,119,"Saiga_tatarica","Mammal","Ungulate","No","No","No"
"Mungos_mungo","+ 30 years old",1542.9,119,"Mungos_mungo","Mammal","Mongoose","No","Yes","No"
"Papillon","- 30 years old",1581.3,120,"Papillon","Insect","Lepidoptera","No","No","No"
"Stephanoaetus_coronatus","+ 30 years old",1487.8,120,"Stephanoaetus_coronatus","Bird","Raptor","Yes","No","No"
"Cairina_moschata","- 30 years old",1517.3,121,"Cairina_moschata","Bird","Bird (not Raptor)","No","Yes","No"
"Pamphagidae","+ 30 years old",1517.3,121,"Pamphagidae","Insect","Orthoptere","No","No","No"
"Pithecia pithecia","- 30 years old",1549.8,122,"Pithecia_pithecia","Mammal","Primate","No","No","No"
"Necrosyrtes_monachus","+ 30 years old",1488.5,122,"Necrosyrtes_monachus","Bird","Raptor","No","No","No"
"Gypaetus_barbatus","- 30 years old",1457.6,123,"Gypaetus_barbatus","Bird","Raptor","No","Yes","No"
"Balaeniceps_rex","+ 30 years old",1465.4,123,"Balaeniceps_rex","Bird","Bird (not Raptor)","No","No","No"
"Macronectes_halli","- 30 years old",1548.4,124,"Macronectes_halli","Bird","Bird (not Raptor)","No","No","No"
"Pan_troglodytes","+ 30 years old",1487.1,124,"Pan_troglodytes","Mammal","Primate","Yes","No","Yes"
"Gulo_gulo2","- 30 years old",1595.7,125,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No"
"Macaca_silenus","+ 30 years old",1524.8,125,"Macaca_silenus","Mammal","Primate","No","Yes","No"
"Strophurus","- 30 years old",1580.2,126,"Strophurus_","Squamata","Lizard","No","Yes","No"
"Gulo_gulo","+ 30 years old",1521.9,126,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No"
"Sarcophilus_harrisii","- 30 years old",1557.4,127,"Sarcophilus_harrisii","Mammal","Marsupial","No","Yes","No"
"Leptoptilos_crumenifer","+ 30 years old",1528.2,127,"Leptoptilos_crumenifer","Bird","Bird (not Raptor)","No","No","No"
"Stephanoaetus_coronatus","- 30 years old",1550.4,128,"Stephanoaetus_coronatus","Bird","Raptor","Yes","No","No"
"Canis_lupus_familiaris","+ 30 years old",1507.1,128,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes"
"Trichosurus_vulpecula","- 30 years old",1480.8,129,"Trichosurus_vulpecula","Mammal","Marsupial","No","No","No"
"Corvus","+ 30 years old",1483.2,129,"Corvus","Bird","Bird (not Raptor)","No","No","No"
"Spalax","- 30 years old",1573.6,130,"Spalax","Mammal","Rodent","No","No","No"
"Gymnogyps_californianus","+ 30 years old",1529,130,"Gymnogyps_californianus","Bird","Raptor","No","No","No"
"Necrosyrtes_monachus","- 30 years old",1491.8,131,"Necrosyrtes_monachus","Bird","Raptor","No","No","No"
"Plathyrrhinus_fusciventris","+ 30 years old",1531.4,131,"Platyrrhinus_fusciventris","Mammal","Chiroptera","No","No","No"
"Odonata","- 30 years old",1548.1,132,"Odonata","Insect","Odonata","No","Yes","No"
"Pithecia pithecia2","+ 30 years old",1566.8,132,"Pithecia_pithecia","Mammal","Primate","No","No","No"
"Lynx_rufus2","- 30 years old",1572.2,133,"Lynx_rufus","Mammal","Felidae","No","Yes","No"
"Iguana_iguana2","+ 30 years old",1536.4,133,"Iguana_iguana","Squamata","Lizard","No","No","No"
"Plathyrrhinus_fusciventris","- 30 years old",1531.4,134,"Platyrrhinus_fusciventris","Mammal","Chiroptera","No","No","No"
"Pithecia pithecia","+ 30 years old",1512.5,134,"Pithecia_pithecia","Mammal","Primate","No","No","No"
"Bufonidae","- 30 years old",1499.8,135,"Bufonidae","Squamata","Amphibia","No","Yes","No"
"Macaca_fuscata","+ 30 years old",1553.4,135,"Macaca_fuscata","Mammal","Primate","No","Yes","No"
"Gypaetus_barbatus2","- 30 years old",1572.6,136,"Gypaetus_barbatus","Bird","Raptor","No","Yes","No"
"Tockus_flavirostris","+ 30 years old",1473.4,136,"Tockus_flavirostris","Bird","Bird (not Raptor)","No","No","No"
"Artibeus_planirostris","- 30 years old",1539.5,137,"Artibeus_planirostris","Mammal","Chiroptera","No","No","No"
"Odonata2","+ 30 years old",1488.4,137,"Odonata","Insect","Odonata","No","Yes","No"
"Iguana_iguana2","- 30 years old",1622.7,138,"Iguana_iguana","Squamata","Lizard","No","No","No"
"Odonata","+ 30 years old",1524.6,138,"Odonata","Insect","Odonata","No","Yes","No"
"Pan_troglodytes","- 30 years old",1552.7,139,"Pan_troglodytes","Mammal","Primate","Yes","No","Yes"
"Hyles_euphorbiae","+ 30 years old",1554.6,139,"Hyles_euphorbiae","Insect","Lepidoptera","No","No","No"
"Macaca_silenus","- 30 years old",1535.9,140,"Macaca_silenus","Mammal","Primate","No","Yes","No"
"Pardofelis_temminckii","+ 30 years old",1591.3,140,"Pardofelis_temminckii","Mammal","Felidae","Yes","Yes","No"
"Acryllium_vulturinum","- 30 years old",1611.9,141,"Acryllium_vulturinum","Bird","Bird (not Raptor)","No","No","No"
"Daubentonia_madagascariensis","+ 30 years old",1598.3,141,"Daubentonia_madagascariensis","Mammal","Primate","No","No","No"
"Iguana_iguana","- 30 years old",1536.3,142,"Iguana_iguana","Squamata","Lizard","No","No","No"
"Geronticus_eremita","+ 30 years old",1540,142,"Geronticus_eremita","Bird","Bird (not Raptor)","No","Yes","No"
"Intellagama_lesueurii","- 30 years old",1505.1,143,"Intellagama_lesueurii","Squamata","Lizard","No","Yes","No"
"Libellula_quadrimaculata","+ 30 years old",1589.9,143,"Libellula_quadrimaculata","Insect","Odonata","No","Yes","No"
"Hyles_euphorbiae","- 30 years old",1560.2,144,"Hyles_euphorbiae","Insect","Lepidoptera","No","No","No"
"Gorilla_Gorilla_Beringei","+ 30 years old",1514.9,144,"Gorilla_Gorilla_Beringei","Mammal","Primate","No","No","Yes"
"Sus_scrofa","- 30 years old",1535.7,145,"Sus_scrofa","Mammal","Ungulate","No","No","Yes"
"Struthio_camelus","+ 30 years old",1538.1,145,"Struthio_camelus","Bird","Bird (not Raptor)","No","No","No"
"Helarctos_malayanus","- 30 years old",1628.4,146,"Helarctos_malayanus","Mammal","Ursus","No","No","No"
"Mandrillus_sphinx2","+ 30 years old",1604.8,146,"Mandrillus_sphinx","Mammal","Primate","No","No","Yes"
"Tockus_flavirostris","- 30 years old",1570.2,147,"Tockus_flavirostris","Bird","Bird (not Raptor)","No","No","No"
"Intellagama_lesueurii","+ 30 years old",1556.8,147,"Intellagama_lesueurii","Squamata","Lizard","No","Yes","No"
"Neofelis_nebulosa","- 30 years old",1570.6,148,"Neofelis_nebulosa","Mammal","Felidae","Yes","No","Yes"
"Hypsignathus_monstrosus","+ 30 years old",1572.2,148,"Hypsignathus_monstrosu","Mammal","Chiroptera","No","No","No"
"Balaeniceps_rex","- 30 years old",1551.2,149,"Balaeniceps_rex","Bird","Bird (not Raptor)","No","No","No"
"Canis_lupus","+ 30 years old",1543.5,149,"Canis_lupus_","Mammal","Canidae","Yes","Yes","Yes"
"Odonata2","- 30 years old",1601.2,150,"Odonata","Insect","Odonata","No","Yes","No"
"Macronectes_halli","+ 30 years old",1593.8,150,"Macronectes_halli","Bird","Bird (not Raptor)","No","No","No"
"Canis_lupus","- 30 years old",1567.3,151,"Canis_lupus_","Mammal","Canidae","Yes","Yes","Yes"
"Artibeus_planirostris","+ 30 years old",1625,151,"Artibeus_planirostris","Mammal","Chiroptera","No","No","No"
"Hemicentetes_semispinosus","- 30 years old",1589.9,152,"Hemicentetes_semispinosus","Mammal","Tenrecidae","No","No","No"
"Ateles_hybridus","+ 30 years old",1546.4,152,"Ateles_hybridus","Mammal","Primate","No","No","No"
"Gorilla_gorilla_gorilla","- 30 years old",1585,153,"Gorilla_Gorilla_Gorilla","Mammal","Primate","No","No","Yes"
"Calliphora_vomitoria","+ 30 years old",1616.7,153,"Calliphora_vomitoria","Insect","Diptera","No","No","No"
"Acinonyx_jubatus","- 30 years old",1572.7,154,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes"
"Sus_scrofa","+ 30 years old",1551.2,154,"Sus_scrofa","Mammal","Ungulate","No","No","Yes"
"Gyps_rueppelli","- 30 years old",1623.8,155,"Gyps_rueppelli","Bird","Raptor","No","No","No"
"Neofelis_nebulosa","+ 30 years old",1664.6,155,"Neofelis_nebulosa","Mammal","Felidae","Yes","No","Yes"
"Papio_hamadryas","- 30 years old",1637.7,156,"Papio_hamadryas","Mammal","Primate","No","No","No"
"Buprestidae","+ 30 years old",1594.8,156,"Buprestidae","Insect","Coleoptera","No","No","No"
"Mandrillus_sphinx2","- 30 years old",1646.4,157,"Mandrillus_sphinx","Mammal","Primate","No","No","Yes"
"Sarcophilus_harrisii","+ 30 years old",1605.4,157,"Sarcophilus_harrisii","Mammal","Marsupial","No","Yes","No"
"Vespula_germanica","- 30 years old",1640.8,158,"Vespula_germanica","Insect","Hymenoptera","No","Yes","Yes"
"Desmodus_rotondus","+ 30 years old",1623.2,158,"Desmodus_rotundus","Mammal","Chiroptera","No","Yes","No"
"Struthio_camelus","- 30 years old",1585.4,159,"Struthio_camelus","Bird","Bird (not Raptor)","No","No","No"
"Mandrillus_sphinx","+ 30 years old",1694.9,159,"Mandrillus_sphinx","Mammal","Primate","No","No","Yes"
"Panthera_pardus2","- 30 years old",1610.7,160,"Panthera_pardus","Mammal","Felidae","Yes","No","Yes"
"Papio_hamadryas","+ 30 years old",1604.1,160,"Papio_hamadryas","Mammal","Primate","No","No","No"
"Panthera_tigris2","- 30 years old",1650,161,"Panthera_tigris","Mammal","Felidae","Yes","No","Yes"
"Amblyrhynchus_cristatus","+ 30 years old",1599.6,161,"Amblyrhynchus_cristatus","Squamata","Lizard","No","No","No"
"Gymnogyps_californianus","- 30 years old",1654,162,"Gymnogyps_californianus","Bird","Raptor","No","No","No"
"Panthera_pardus2","+ 30 years old",1646.2,162,"Panthera_pardus","Mammal","Felidae","Yes","No","Yes"
"Conolophus_pallidus","- 30 years old",1663.9,163,"Conolophus_pallidus","Squamata","Lizard","No","No","No"
"Helarctos_malayanus","+ 30 years old",1668.8,163,"Helarctos_malayanus","Mammal","Ursus","No","No","No"
"Mandrillus_sphinx","- 30 years old",1646.9,164,"Mandrillus_sphinx","Mammal","Primate","No","No","Yes"
"Acinonyx_jubatus","+ 30 years old",1620,164,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes"
"Buprestidae","- 30 years old",1647.1,165,"Buprestidae","Insect","Coleoptera","No","No","No"
"Podarcis_muralis","+ 30 years old",1653,165,"Podarcis_muralis","Squamata","Lizard","No","Yes","No"
"Desmodus_rotondus","- 30 years old",1659.3,166,"Desmodus_rotundus","Mammal","Chiroptera","No","Yes","No"
"Thomisus_onustus","+ 30 years old",1700.3,166,"Thomisus_onustus","Spider","Spider","No","Yes","No"
"Lycaon_pictus","- 30 years old",1637.9,167,"Lycaon_pictus","Mammal","Canidae","Yes","Yes","Yes"
"Lynx_rufus2","+ 30 years old",1606.5,167,"Lynx_rufus","Mammal","Felidae","No","Yes","No"
"Panthera_uncia","- 30 years old",1667.8,168,"Panthera_uncia","Mammal","Felidae","Yes","No","Yes"
"Ursus_thibetanus","+ 30 years old",1683,168,"Ursus_thibetanus","Mammal","Ursus","No","Yes","Yes"
"Panthera_leo2","- 30 years old",1657.6,169,"Panthera_leo","Mammal","Felidae","Yes","No","Yes"
"Conolophus_pallidus","+ 30 years old",1729.5,169,"Conolophus_pallidus","Squamata","Lizard","No","No","No"
"Daubentonia_madagascariensis","- 30 years old",1584.1,170,"Daubentonia_madagascariensis","Mammal","Primate","No","No","No"
"Panthera_onca_2","+ 30 years old",1751.7,170,"Panthera_onca","Mammal","Felidae","Yes","No","Yes"
"Acinonyx_jubatus2","- 30 years old",1626,171,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes"
"Malpolon_monspessulanus","+ 30 years old",1755.8,171,"Malpolon_monspessulanus","Squamata","Snake","No","Yes","No"
"Panthera_onca_2","- 30 years old",1685.4,172,"Panthera_onca","Mammal","Felidae","Yes","No","Yes"
"Panthera_uncia","+ 30 years old",1668.6,172,"Panthera_uncia","Mammal","Felidae","Yes","No","Yes"
"Bison_bonasus2","- 30 years old",1601.8,173,"Bison_bonasus","Mammal","Ungulate","No","No","No"
"Lynx_rufus","+ 30 years old",1653.4,173,"Lynx_rufus","Mammal","Felidae","No","Yes","No"
"Gorilla_Gorilla_Beringei","- 30 years old",1706.4,174,"Gorilla_Gorilla_Beringei","Mammal","Primate","No","No","Yes"
"Vespula_germanica","+ 30 years old",1668.1,174,"Vespula_germanica","Insect","Hymenoptera","No","Yes","Yes"
"Geronticus_eremita","- 30 years old",1673.2,175,"Geronticus_eremita","Bird","Bird (not Raptor)","No","Yes","No"
"Gorilla_gorilla_gorilla","+ 30 years old",1723.3,175,"Gorilla_Gorilla_Gorilla","Mammal","Primate","No","No","Yes"
"Lycaon_pictus2","- 30 years old",1715.8,176,"Lycaon_pictus","Mammal","Canidae","Yes","Yes","Yes"
"Iguana_iguana","+ 30 years old",1688.2,176,"Iguana_iguana","Squamata","Lizard","No","No","No"
"Lynx_rufus","- 30 years old",1582.3,177,"Lynx_rufus","Mammal","Felidae","No","Yes","No"
"Theropithecus_gelada","+ 30 years old",1674.9,177,"Theropithecus_gelada","Mammal","Primate","No","No","No"
"Podarcis_muralis","- 30 years old",1631.2,178,"Podarcis_muralis","Squamata","Lizard","No","Yes","No"
"Lycaon_pictus","+ 30 years old",1700.8,178,"Lycaon_pictus","Mammal","Canidae","Yes","Yes","Yes"
"Puma_concolor","- 30 years old",1706.3,179,"Puma_concolor","Mammal","Felidae","Yes","No","Yes"
"Hippopotamus_amphibius","+ 30 years old",1678.3,179,"Hippopotamus_amphibius","Mammal","Ungulate","No","No","Yes"
"Ursus_arctos_horribilis","- 30 years old",1715.6,180,"Ursus_arctos_horribilis","Mammal","Ursus","Yes","No","Yes"
"Bison_bonasus2","+ 30 years old",1720,180,"Bison_bonasus","Mammal","Ungulate","No","No","No"
"Zoropsis_spinimana","- 30 years old",1687.1,181,"Zoropsis_spinimana","Spider","Spider","No","Yes","No"
"Bison_bonasus","+ 30 years old",1746.9,181,"Bison_bonasus","Mammal","Ungulate","No","No","No"
"Hyaena_hyaena","- 30 years old",1727.9,182,"Hyaena_hyaena","Mammal","Hyenidae","Yes","No","Yes"
"Lycaon_pictus2","+ 30 years old",1697,182,"Lycaon_pictus","Mammal","Canidae","Yes","Yes","Yes"
"Hippopotamus_amphibius","- 30 years old",1658.1,183,"Hippopotamus_amphibius","Mammal","Ungulate","No","No","Yes"
"Panthera_leo","+ 30 years old",1755.9,183,"Panthera_leo","Mammal","Felidae","Yes","No","Yes"
"Panthera_onca","- 30 years old",1724.6,184,"Panthera_onca","Mammal","Felidae","Yes","No","Yes"
"Acinonyx_jubatus2","+ 30 years old",1752.8,184,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes"
"Malpolon_monspessulanus","- 30 years old",1713.9,185,"Malpolon_monspessulanus","Squamata","Snake","No","Yes","No"
"Puma_concolor","+ 30 years old",1756.3,185,"Puma_concolor","Mammal","Felidae","Yes","No","Yes"
"Centurio_senex","- 30 years old",1680.9,186,"Centurio_senex","Mammal","Chiroptera","No","No","No"
"Evarcha_arcuata","+ 30 years old",1755.7,186,"Evarcha_arcuata","Spider","Spider","No","Yes","No"
"Panthera_leo3","- 30 years old",1698.4,187,"Panthera_leo","Mammal","Felidae","Yes","No","Yes"
"Heterocephalus_glaber","+ 30 years old",1729.7,187,"Heterocephalus_glaber","Mammal","Rodent","No","No","No"
"Panthera_leo","- 30 years old",1746.4,188,"Panthera_leo","Mammal","Felidae","Yes","No","Yes"
"Centurio_senex","+ 30 years old",1720.9,188,"Centurio_senex","Mammal","Chiroptera","No","No","No"
"Hypsignathus_monstrosus","- 30 years old",1674.8,189,"Hypsignathus_monstrosu","Mammal","Chiroptera","No","No","No"
"Zamenis_longissimus","+ 30 years old",1787.7,189,"Zamenis_longissimus","Squamata","Snake","No","Yes","No"
"Phacochoerus_africanus","- 30 years old",1715.9,190,"Phacochoerus_africanus","Mammal","Ungulate","No","No","No"
"Mygale","+ 30 years old",1704.7,190,"Mygale","Spider","Spider","No","Yes","No"
"Heterocephalus_glaber","- 30 years old",1672.2,191,"Heterocephalus_glaber","Mammal","Rodent","No","No","No"
"Panthera_pardus","+ 30 years old",1762.8,191,"Panthera_pardus","Mammal","Felidae","Yes","No","Yes"
"Panthera_onca3","- 30 years old",1808,192,"Panthera_onca","Mammal","Felidae","Yes","No","Yes"
"Ursus_arctos_horribilis","+ 30 years old",1754.7,192,"Ursus_arctos_horribilis","Mammal","Ursus","Yes","No","Yes"
"Mygale","- 30 years old",1814.9,193,"Mygale","Spider","Spider","No","Yes","No"
"Panthera_leo2","+ 30 years old",1788,193,"Panthera_leo","Mammal","Felidae","Yes","No","Yes"
"Amblyrhynchus_cristatus","- 30 years old",1763.5,194,"Amblyrhynchus_cristatus","Squamata","Lizard","No","No","No"
"Malayopython_reticulatus","+ 30 years old",1845.9,194,"Malayopython_reticulatus","Squamata","Snake","Yes","Yes","Yes"
"Python_bivittatus","- 30 years old",1724,195,"Python_bivittatus","Squamata","Snake","Yes","Yes","Yes"
"Panthera_pardus_3","+ 30 years old",1821.7,195,"Panthera_pardus","Mammal","Felidae","Yes","No","Yes"
"Crocuta_crocuta","- 30 years old",1694,196,"Crocuta_crocuta","Mammal","Hyenidae","Yes","No","Yes"
"Ursus_maritimus","+ 30 years old",1729.6,196,"Ursus_maritimus","Mammal","Ursus","Yes","No","Yes"
"Python_regius","- 30 years old",1724,197,"Python_regius","Squamata","Snake","No","Yes","No"
"Zoropsis_spinimana","+ 30 years old",1786.2,197,"Zoropsis_spinimana","Spider","Spider","No","Yes","No"
"Thomisus_onustus","- 30 years old",1691.3,198,"Thomisus_onustus","Spider","Spider","No","Yes","No"
"Panthera_tigris2","+ 30 years old",1744.2,198,"Panthera_tigris","Mammal","Felidae","Yes","No","Yes"
"Vipera_ammodytes","- 30 years old",1752,199,"Vipera_ammodytes","Squamata","Snake","No","Yes","Yes"
"Panthera_onca3","+ 30 years old",1815.6,199,"Panthera_onca","Mammal","Felidae","Yes","No","Yes"
"Evarcha_arcuata","- 30 years old",1753.9,200,"Evarcha_arcuata","Spider","Spider","No","Yes","No"
"Vipera_aspis","+ 30 years old",1820.4,200,"Vipera_aspis","Squamata","Snake","No","Yes","Yes"
"Notechis_scutatus","- 30 years old",1744.6,201,"Notechis_scutatus","Squamata","Snake","No","Yes","Yes"
"Boa_constrictor","+ 30 years old",1821.1,201,"Boa_constrictor","Squamata","Snake","Yes","Yes","No"
"Crotalus2","- 30 years old",1765.9,202,"Crotalus_atrox","Squamata","Snake","No","Yes","Yes"
"Crotalus_atrox","+ 30 years old",1799.2,202,"Crotalus_atrox","Squamata","Snake","No","Yes","Yes"
"Bison_bonasus","- 30 years old",1772.9,203,"Bison_bonasus","Mammal","Ungulate","No","No","No"
"Morelia_spilota","+ 30 years old",1760.4,203,"Morelia_spilota","Squamata","Snake","No","Yes","No"
"Zamenis_longissimus","- 30 years old",1689.3,204,"Zamenis_longissimus","Squamata","Snake","No","Yes","No"
"Hyaena_hyaena","+ 30 years old",1790.2,204,"Hyaena_hyaena","Mammal","Hyenidae","Yes","No","Yes"
"Laticauda_laticaudata","- 30 years old",1768.5,205,"Laticauda_laticaudata","Squamata","Snake","No","Yes","No"
"Crocuta_crocuta","+ 30 years old",1792.3,205,"Crocuta_crocuta","Mammal","Hyenidae","Yes","No","Yes"
"Theropithecus_gelada","- 30 years old",1713.4,206,"Theropithecus_gelada","Mammal","Primate","No","No","No"
"Dendroaspis_angusticeps","+ 30 years old",1770.9,206,"Dendroaspis_angusticeps","Squamata","Snake","No","Yes","Yes"
"Laticauda_saintgironsi","- 30 years old",1806,207,"Laticauda_saintgironsi","Squamata","Snake","No","Yes","No"
"Laticauda_saintgironsi","+ 30 years old",1833.5,207,"Laticauda_saintgironsi","Squamata","Snake","No","Yes","No"
"Panthera_pardus_3","- 30 years old",1716.7,208,"Panthera_pardus","Mammal","Felidae","Yes","No","Yes"
"Python_regius","+ 30 years old",1842.4,208,"Python_regius","Squamata","Snake","No","Yes","No"
"Malayopython_reticulatus","- 30 years old",1813.9,209,"Malayopython_reticulatus","Squamata","Snake","Yes","Yes","Yes"
"Panthera_onca","+ 30 years old",1799.1,209,"Panthera_onca","Mammal","Felidae","Yes","No","Yes"
"Panthera_pardus","- 30 years old",1776.1,210,"Panthera_pardus","Mammal","Felidae","Yes","No","Yes"
"Calloselasma rhodostoma","+ 30 years old",1835.9,210,"Calloselasma_rhodostoma","Squamata","Snake","No","Yes","Yes"
"Boa_constrictor","- 30 years old",1760.4,211,"Boa_constrictor","Squamata","Snake","Yes","Yes","No"
"Laticauda_laticaudata","+ 30 years old",1872.2,211,"Laticauda_laticaudata","Squamata","Snake","No","Yes","No"
"Ursus_thibetanus","- 30 years old",1749.6,212,"Ursus_thibetanus","Mammal","Ursus","No","Yes","Yes"
"Panthera_leo3","+ 30 years old",1811.6,212,"Panthera_leo","Mammal","Felidae","Yes","No","Yes"
"Naja_naja","- 30 years old",1816.6,213,"Naja_naja","Squamata","Snake","No","Yes","Yes"
"Notechis_scutatus","+ 30 years old",1859.6,213,"Notechis_scutatus","Squamata","Snake","No","Yes","Yes"
"Morelia_spilota","- 30 years old",1822.4,214,"Morelia_spilota","Squamata","Snake","No","Yes","No"
"Python_bivittatus","+ 30 years old",1840.7,214,"Python_bivittatus","Squamata","Snake","Yes","Yes","Yes"
"Crotalus_atrox","- 30 years old",1814,215,"Crotalus_atrox","Squamata","Snake","No","Yes","Yes"
"Phacochoerus_africanus","+ 30 years old",1862.1,215,"Phacochoerus_africanus","Mammal","Ungulate","No","No","No"
"Vipera_aspis","- 30 years old",1800.2,216,"Vipera_aspis","Squamata","Snake","No","Yes","Yes"
"Pholcus_phalangioides","+ 30 years old",1878.8,216,"Pholcus_phalangioides","Spider","Spider","No","Yes","No"
"Dendroaspis_angusticeps","- 30 years old",1796.2,217,"Dendroaspis_angusticeps","Squamata","Snake","No","Yes","Yes"
"Crotalus2","+ 30 years old",1901.7,217,"Crotalus_atrox","Squamata","Snake","No","Yes","Yes"
"Pholcus_phalangioides","- 30 years old",1892.3,218,"Pholcus_phalangioides","Spider","Spider","No","Yes","No"
"Vipera_ammodytes","+ 30 years old",1872.5,218,"Vipera_ammodytes","Squamata","Snake","No","Yes","Yes"
"Calloselasma rhodostoma","- 30 years old",1823.7,219,"Calloselasma_rhodostoma","Squamata","Snake","No","Yes","Yes"
"Crocodylus_porosus","+ 30 years old",1954.5,219,"Crocodylus_porosus","Squamata","Crocodile","Yes","Yes","Yes"
"Alligator_mississippiensis","- 30 years old",1924.8,220,"Alligator_mississippiensis","Squamata","Crocodile","Yes","Yes","Yes"
"Alligator_mississippiensis","+ 30 years old",1943.2,220,"Alligator_mississippiensis","Squamata","Crocodile","Yes","Yes","Yes"
"Crocodylus_porosus","- 30 years old",1938.8,221,"Crocodylus_porosus","Squamata","Crocodile","Yes","Yes","Yes"
"Naja_naja","+ 30 years old",1983.8,221,"Naja_naja","Squamata","Snake","No","Yes","Yes"
