"","Name","Age","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous","Interet"
"1","Oryctolagus_cuniculus2","- 30 years old",866.5,1,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No","Others"
"2","Oryctolagus_cuniculus2","+ 30 years old",827.2,1,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No","Others"
"3","Petroica_macrocephala","- 30 years old",1057.6,2,"Petroica_macrocephala","Bird","Bird (not Raptor)","No","No","No","Others"
"4","Petroica_macrocephala","+ 30 years old",1008.4,2,"Petroica_macrocephala","Bird","Bird (not Raptor)","No","No","No","Others"
"5","Phascolarctos_cinereus","- 30 years old",1073.1,3,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No","Others"
"6","Oryctolagus_cuniculus","+ 30 years old",1047,3,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No","Others"
"7","Phascolarctos_cinereus2","- 30 years old",1090.9,4,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No","Others"
"8","Phascolarctos_cinereus2","+ 30 years old",988.6,4,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No","Others"
"9","Oryctolagus_cuniculus","- 30 years old",1137.7,5,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No","Others"
"10","Testudo_hermanni","+ 30 years old",1075.4,5,"Testudo_hermanni","Squamata","Tortoise","No","No","No","Others"
"11","Testudo_hermanni","- 30 years old",1159.9,6,"Testudo_hermanni","Squamata","Tortoise","No","No","No","Others"
"12","Tauraco_leucotis","+ 30 years old",1108.5,6,"Tauraco_leucotis","Bird","Bird (not Raptor)","No","No","No","Others"
"13","Muscardinus_avellanarius","- 30 years old",1126.1,7,"Muscardinus_avellanarius","Mammal","Rodent","No","No","No","Others"
"14","Phascolarctos_cinereus","+ 30 years old",1094.8,7,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No","Others"
"15","Vicugna_vicugna","- 30 years old",1203.6,8,"Vicugna_vicugna","Mammal","Ungulate","No","No","No","Others"
"16","Felis_silvestris","+ 30 years old",1135.5,8,"Felis_silvestris_","Mammal","Felidae","No","No","No","Felidae"
"17","Canis_lupus_familiaris2","- 30 years old",1195,9,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes","Canidae"
"18","Vicugna_vicugna","+ 30 years old",1159.5,9,"Vicugna_vicugna","Mammal","Ungulate","No","No","No","Others"
"19","Felis_silvestris","- 30 years old",1163.8,10,"Felis_silvestris_","Mammal","Felidae","No","No","No","Felidae"
"20","Muscardinus_avellanarius","+ 30 years old",1194.6,10,"Muscardinus_avellanarius","Mammal","Rodent","No","No","No","Others"
"21","Spheniscus_humboldti","- 30 years old",1175.6,11,"Spheniscus_humboldti","Bird","Bird (not Raptor)","No","Yes","No","Others"
"22","Canis_lupus_familiaris2","+ 30 years old",1276.5,11,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes","Canidae"
"23","Choloepus_didactylus3","- 30 years old",1193.9,12,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"24","Ara_chloropterus","+ 30 years old",1197.4,12,"Ara_chloropterus","Bird","Bird (not Raptor)","No","No","No","Others"
"25","Ara_chloropterus","- 30 years old",1232.1,13,"Ara_chloropterus","Bird","Bird (not Raptor)","No","No","No","Others"
"26","Loris_tardigradus","+ 30 years old",1182.2,13,"Loris_tardigradus","Mammal","Primate","No","No","No","Primate"
"27","Ailurus_fulgens","- 30 years old",1193.8,14,"Ailurus_fulgens","Mammal","Ursus","No","No","No","Ursus"
"28","Myocastor_coypus","+ 30 years old",1268.2,14,"Myocastor_coypus","Mammal","Rodent","No","No","No","Others"
"29","Loris_tardigradus","- 30 years old",1249.5,15,"Loris_tardigradus","Mammal","Primate","No","No","No","Primate"
"30","Aonyx_cinereus2","+ 30 years old",1215.8,15,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No","Others"
"31","Equus_caballus","- 30 years old",1241.2,16,"Equus_caballus","Mammal","Ungulate","No","No","No","Others"
"32","Equus_caballus","+ 30 years old",1257.1,16,"Equus_caballus","Mammal","Ungulate","No","No","No","Others"
"33","Ara_ararauna","- 30 years old",1247.6,17,"Ara_ararauna","Bird","Bird (not Raptor)","No","No","No","Others"
"34","Spheniscus_humboldti","+ 30 years old",1203,17,"Spheniscus_humboldti","Bird","Bird (not Raptor)","No","Yes","No","Others"
"35","Chelonoidis_porteri","- 30 years old",1248.1,18,"Chelonoidis_porteri","Squamata","Tortoise","No","No","No","Others"
"36","Ailurus_fulgens","+ 30 years old",1221.1,18,"Ailurus_fulgens","Mammal","Ursus","No","No","No","Ursus"
"37","Choloepus_didactylus2","- 30 years old",1238.7,19,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"38","Bubo_scandiacus","+ 30 years old",1268.1,19,"Bubo_scandiacus","Bird","Raptor","No","No","No","Raptor"
"39","Rhinopithecus_roxellana","- 30 years old",1286.7,20,"Rhinopithecus_roxellana","Mammal","Primate","No","No","No","Primate"
"40","Choloepus_didactylus","+ 30 years old",1261.2,20,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"41","Aonyx_cinereus2","- 30 years old",1263.4,21,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No","Others"
"42","Vicugna_pacos","+ 30 years old",1385.5,21,"Vicugna_pacos","Mammal","Ungulate","No","No","No","Others"
"43","Suricata_suricatta","- 30 years old",1225.5,22,"Suricata_suricatta","Mammal","Mongoose","No","Yes","No","Others"
"44","Athene_noctua2","+ 30 years old",1232.6,22,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No","Others"
"45","Athene_noctua","- 30 years old",1224.4,23,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No","Others"
"46","Eudyptes chrysolophus","+ 30 years old",1206.9,23,"Eudyptes_chrysolophus","Bird","Bird (not Raptor)","No","Yes","No","Others"
"47","Tauraco_leucotis","- 30 years old",1223.4,24,"Tauraco_leucotis","Bird","Bird (not Raptor)","No","No","No","Others"
"48","Choloepus_didactylus2","+ 30 years old",1205.7,24,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"49","Ateles_paniscus","- 30 years old",1225.6,25,"Ateles_paniscus","Mammal","Primate","No","No","No","Primate"
"50","Columba_livia","+ 30 years old",1294.1,25,"Columba_livia","Bird","Bird (not Raptor)","No","No","No","Others"
"51","Aonyx_cinereus","- 30 years old",1229.5,26,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No","Others"
"52","Giraffa_camelopardalis_reticulata","+ 30 years old",1230.2,26,"Giraffa_camelopardalis_reticulata","Mammal","Ungulate","No","No","No","Others"
"53","Giraffa_camelopardalis_reticulata","- 30 years old",1300.4,27,"Giraffa_camelopardalis_reticulata","Mammal","Ungulate","No","No","No","Others"
"54","Aonyx_cinereus","+ 30 years old",1202.3,27,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No","Others"
"55","Propithecus_coquereli","- 30 years old",1331.6,28,"Propithecus_coquereli","Mammal","Primate","No","No","No","Primate"
"56","Bubo_bubo","+ 30 years old",1247,28,"Bubo_bubo","Bird","Raptor","No","Yes","No","Raptor"
"57","Vicugna_pacos2","- 30 years old",1343.2,29,"Vicugna_pacos","Mammal","Ungulate","No","No","No","Others"
"58","Aepyceros_melampus2","+ 30 years old",1222.5,29,"Aepyceros_melampus","Mammal","Ungulate","No","No","No","Others"
"59","Psittacus_erithacus","- 30 years old",1276.2,30,"Psittacus_erithacus","Bird","Bird (not Raptor)","No","No","No","Others"
"60","Haematopus_ater","+ 30 years old",1254.9,30,"Haematopus_ater","Bird","Bird (not Raptor)","No","Yes","No","Others"
"61","Bubo_bubo2","- 30 years old",1260.4,31,"Bubo_bubo","Bird","Raptor","No","Yes","No","Raptor"
"62","Chelonoidis_porteri","+ 30 years old",1254.1,31,"Chelonoidis_porteri","Squamata","Tortoise","No","No","No","Others"
"63","Asio_flammeus","- 30 years old",1276.6,32,"Asio_flammeus","Bird","Raptor","No","Yes","No","Raptor"
"64","Eulemur _coronatus2","+ 30 years old",1305,32,"Eulemur_coronatus","Mammal","Primate","No","No","No","Primate"
"65","Propithecus_verreauxi","- 30 years old",1318.7,33,"Propithecus_verreauxi","Mammal","Primate","No","No","No","Primate"
"66","Ara_ararauna","+ 30 years old",1234.4,33,"Ara_ararauna","Bird","Bird (not Raptor)","No","No","No","Others"
"67","Vicugna_pacos","- 30 years old",1386.1,34,"Vicugna_pacos","Mammal","Ungulate","No","No","No","Others"
"68","Vulpes_zerda","+ 30 years old",1296.4,34,"Vulpes_zerda","Mammal","Canidae","No","Yes","No","Canidae"
"69","Eudyptes chrysolophus","- 30 years old",1328.8,35,"Eudyptes_chrysolophus","Bird","Bird (not Raptor)","No","Yes","No","Others"
"70","Rhinopithecus_roxellana","+ 30 years old",1292.8,35,"Rhinopithecus_roxellana","Mammal","Primate","No","No","No","Primate"
"71","Ailuropoda_melanoleuca","- 30 years old",1269.4,36,"Ailuropoda_melanoleuca","Mammal","Ursus","No","No","No","Ursus"
"72","Athene_noctua","+ 30 years old",1262.4,36,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No","Others"
"73","Choloepus_didactylus","- 30 years old",1283.5,37,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"74","Bubo_bubo2","+ 30 years old",1212.7,37,"Bubo_bubo","Bird","Raptor","No","Yes","No","Raptor"
"75","Bubo_bubo","- 30 years old",1253.5,38,"Bubo_bubo","Bird","Raptor","No","Yes","No","Raptor"
"76","Eudyptes_chrysocome","+ 30 years old",1331.9,38,"Eudyptes_chrysocome","Bird","Bird (not Raptor)","No","Yes","No","Others"
"77","Hylobates_agilis","- 30 years old",1351.5,39,"Hylobates_agilis","Mammal","Primate","No","No","No","Primate"
"78","Propithecus_verreauxi","+ 30 years old",1366.4,39,"Propithecus_verreauxi","Mammal","Primate","No","No","No","Primate"
"79","Arctocephalus_forsteri2","- 30 years old",1284.6,40,"Arctocephalus_forsteri","Mammal","Sea lion","No","Yes","No","Others"
"80","Choloepus_didactylus3","+ 30 years old",1345,40,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"81","Aepyceros_melampus2","- 30 years old",1290.9,41,"Aepyceros_melampus","Mammal","Ungulate","No","No","No","Others"
"82","Litoria_infrafrenata","+ 30 years old",1348.1,41,"Litoria_infrafrenata","Squamata","Amphibia","No","Yes","No","Others"
"83","Columba_livia","- 30 years old",1305,42,"Columba_livia","Bird","Bird (not Raptor)","No","No","No","Others"
"84","Propithecus_coquereli","+ 30 years old",1303.5,42,"Propithecus_coquereli","Mammal","Primate","No","No","No","Primate"
"85","Vulpes_zerda","- 30 years old",1275.5,43,"Vulpes_zerda","Mammal","Canidae","No","Yes","No","Canidae"
"86","Ailurops_ursinus","+ 30 years old",1345.4,43,"Ailurops_ursinus","Mammal","Marsupial","No","No","No","Others"
"87","Bubo_scandiacus","- 30 years old",1330,44,"Bubo_scandiacus","Bird","Raptor","No","No","No","Raptor"
"88","Nestor_meridionalis","+ 30 years old",1302.2,44,"Nestor_meridionalis","Bird","Bird (not Raptor)","No","No","No","Others"
"89","Lemur_catta","- 30 years old",1268.1,45,"Lemur_catta","Mammal","Primate","No","Yes","No","Primate"
"90","Ateles_paniscus","+ 30 years old",1310.4,45,"Ateles_paniscus","Mammal","Primate","No","No","No","Primate"
"91","Litoria_infrafrenata","- 30 years old",1403.2,46,"Litoria_infrafrenata","Squamata","Amphibia","No","Yes","No","Others"
"92","Lemur_catta","+ 30 years old",1320.7,46,"Lemur_catta","Mammal","Primate","No","Yes","No","Primate"
"93","Myocastor_coypus","- 30 years old",1273.5,47,"Myocastor_coypus","Mammal","Rodent","No","No","No","Others"
"94","Chroicocephalus_scopulinus","+ 30 years old",1295.7,47,"Chroicocephalus_scopulinus","Bird","Bird (not Raptor)","No","Yes","No","Others"
"95","Cerdocyon_thous","- 30 years old",1373.2,48,"Cerdocyon_thous","Mammal","Canidae","Yes","Yes","No","Canidae"
"96","Pan_troglodytes2","+ 30 years old",1308.7,48,"Pan_troglodytes","Mammal","Primate","Yes","No","Yes","Primate"
"97","Rattus_norvegicus","- 30 years old",1277.1,49,"Rattus_norvegicus","Mammal","Rodent","No","No","No","Others"
"98","Psittacus_erithacus","+ 30 years old",1286.9,49,"Psittacus_erithacus","Bird","Bird (not Raptor)","No","No","No","Others"
"99","Pan_troglodytes2","- 30 years old",1323.3,50,"Pan_troglodytes","Mammal","Primate","Yes","No","Yes","Primate"
"100","Athene_noctua3","+ 30 years old",1285.5,50,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No","Others"
"101","Callithrix_penicillata","- 30 years old",1404.9,51,"Callithrix_penicillata","Mammal","Primate","No","No","No","Primate"
"102","Tapirus_indicus","+ 30 years old",1326.8,51,"Tapirus_indicus","Mammal","Ungulate","No","No","No","Others"
"103","Callithrix_argentata","- 30 years old",1345.5,52,"Callithrix_argentata","Mammal","Primate","No","No","No","Primate"
"104","Taricha_torosa","+ 30 years old",1400.9,52,"Taricha_torosa","Squamata","Amphibia","No","Yes","No","Others"
"105","Nasua_nasua","- 30 years old",1349.7,53,"Nasua_nasua","Mammal","Procyonide","No","No","No","Others"
"106","Suricata_suricatta","+ 30 years old",1342.5,53,"Suricata_suricatta","Mammal","Mongoose","No","Yes","No","Others"
"107","Tapirus_indicus","- 30 years old",1382.3,54,"Tapirus_indicus","Mammal","Ungulate","No","No","No","Others"
"108","Eulemur _coronatus","+ 30 years old",1422.7,54,"Eulemur_coronatus","Mammal","Primate","No","No","No","Primate"
"109","Miopithecus_ogouensis","- 30 years old",1357.1,55,"Miopithecus_ogouensis","Mammal","Primate","No","No","No","Primate"
"110","Nasua_nasua","+ 30 years old",1323.3,55,"Nasua_nasua","Mammal","Procyonide","No","No","No","Others"
"111","Athene_noctua2","- 30 years old",1353.8,56,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No","Others"
"112","Hylobates_agilis","+ 30 years old",1361.9,56,"Hylobates_agilis","Mammal","Primate","No","No","No","Primate"
"113","Dasypus_novemcinctus","- 30 years old",1330.6,57,"Dasypus_novemcinctus","Mammal","Xenarthra","No","No","No","Others"
"114","Agalychnis_callidryas","+ 30 years old",1426.2,57,"Agalychnis_callidryas","Squamata","Amphibia","No","Yes","No","Others"
"115","Procyon_lotor","- 30 years old",1360.9,58,"Procyon_lotor","Mammal","Procyonide","No","Yes","No","Others"
"116","Aepyceros_melampus","+ 30 years old",1391.3,58,"Aepyceros_melampus","Mammal","Ungulate","No","No","No","Others"
"117","Ailurops_ursinus","- 30 years old",1307.7,59,"Ailurops_ursinus","Mammal","Marsupial","No","No","No","Others"
"118","Lemur_catta2","+ 30 years old",1329.1,59,"Lemur_catta","Mammal","Primate","No","Yes","No","Primate"
"119","Pogona_vitticeps","- 30 years old",1391.5,60,"Pogona_vitticeps","Squamata","Lizard","No","Yes","No","Others"
"120","Macropus_rufogriseus","+ 30 years old",1377.7,60,"Macropus_rufogriseus","Mammal","Marsupial","No","No","No","Others"
"121","Eudyptes_chrysocome","- 30 years old",1366,61,"Eudyptes_chrysocome","Bird","Bird (not Raptor)","No","Yes","No","Others"
"122","Pan_paniscus4","+ 30 years old",1331.9,61,"Pan_panisucs","Mammal","Primate","No","Yes","No","Primate"
"123","Lemur_catta2","- 30 years old",1352.3,62,"Lemur_catta","Mammal","Primate","No","Yes","No","Primate"
"124","Ailuropoda_melanoleuca","+ 30 years old",1315.3,62,"Ailuropoda_melanoleuca","Mammal","Ursus","No","No","No","Ursus"
"125","Macropus_rufogriseus","- 30 years old",1386,63,"Macropus_rufogriseus","Mammal","Marsupial","No","No","No","Others"
"126","Vicugna_pacos2","+ 30 years old",1327.8,63,"Vicugna_pacos","Mammal","Ungulate","No","No","No","Others"
"127","Nyctereutes_procyonoides","- 30 years old",1390.6,64,"Nyctereutes_procyonoides","Mammal","Canidae","No","Yes","No","Canidae"
"128","Didelphis_virginiana","+ 30 years old",1375.4,64,"Didelphis_virginiana","Mammal","Marsupial","No","No","No","Others"
"129","Athene_noctua3","- 30 years old",1415.9,65,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No","Others"
"130","Miopithecus_ogouensis","+ 30 years old",1376.9,65,"Miopithecus_ogouensis","Mammal","Primate","No","No","No","Primate"
"131","Nestor_meridionalis","- 30 years old",1336.8,66,"Nestor_meridionalis","Bird","Bird (not Raptor)","No","No","No","Others"
"132","Pteropus_conspicillatus","+ 30 years old",1360,66,"Pteropus_conspicillatus","Mammal","Chiroptera","No","No","No","Others"
"133","Aepyceros_melampus","- 30 years old",1378,67,"Aepyceros_melampus","Mammal","Ungulate","No","No","No","Others"
"134","Procyon_lotor","+ 30 years old",1395.1,67,"Procyon_lotor","Mammal","Procyonide","No","Yes","No","Others"
"135","Gulo_gulo","- 30 years old",1457.2,68,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No","Others"
"136","Pan_paniscus2","+ 30 years old",1411.2,68,"Pan_panisucs","Mammal","Primate","No","Yes","No","Primate"
"137","Eulemur _coronatus2","- 30 years old",1438.4,69,"Eulemur_coronatus","Mammal","Primate","No","No","No","Primate"
"138","Arctocephalus_forsteri2","+ 30 years old",1382.1,69,"Arctocephalus_forsteri","Mammal","Sea lion","No","Yes","No","Others"
"139","Chroicocephalus_scopulinus","- 30 years old",1374.3,70,"Chroicocephalus_scopulinus","Bird","Bird (not Raptor)","No","Yes","No","Others"
"140","Varecia_rubra","+ 30 years old",1409.9,70,"Varecia_rubra","Mammal","Primate","No","No","No","Primate"
"141","Agalychnis_callidryas","- 30 years old",1404.7,71,"Agalychnis_callidryas","Squamata","Amphibia","No","Yes","No","Others"
"142","Asio_flammeus","+ 30 years old",1314.7,71,"Asio_flammeus","Bird","Raptor","No","Yes","No","Raptor"
"143","Leptailurus_serval","- 30 years old",1424.9,72,"Leptailurus_serval","Mammal","Felidae","No","Yes","No","Felidae"
"144","Dasypus_novemcinctus","+ 30 years old",1426,72,"Dasypus_novemcinctus","Mammal","Xenarthra","No","No","No","Others"
"145","Felis_catus","- 30 years old",1379.3,73,"Felis_catus","Mammal","Felidae","No","Yes","No","Felidae"
"146","Callithrix_penicillata","+ 30 years old",1469.3,73,"Callithrix_penicillata","Mammal","Primate","No","No","No","Primate"
